orf,Filter Name,omcl
,OMCL in Tryps,OG5_137413
,OMCL in Tryps,OG5_135404
,OMCL in Tryps,OG5_129090
,OMCL in Tryps,OG5_129384
,OMCL in Tryps,OG5_180383
,OMCL in Tryps,OG5_152775
,OMCL in Tryps,OG5_131561
,OMCL in Tryps,OG5_180369
,OMCL in Tryps,OG5_160797
,OMCL in Tryps,OG5_179715
,OMCL in Tryps,OG5_127299
,OMCL in Tryps,OG5_127697
,OMCL in Tryps,OG5_136902
,OMCL in Tryps,OG5_132043
,OMCL in Tryps,OG5_180460
,OMCL in Tryps,OG5_130576
,OMCL in Tryps,OG5_133529
,OMCL in Tryps,OG5_127571
,OMCL in Tryps,OG5_165229
,OMCL in Tryps,OG5_128397
,OMCL in Tryps,OG5_180403
,OMCL in Tryps,OG5_130392
